,Postcode,Borough,Neighbourhood,Latitude,Longitude
0,M1B,Scarborough,"Rouge, Malvern",43.808240999999995,-79.22053349999999
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.78,-79.19
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.77,-79.19
3,M1G,Scarborough,Woburn,43.78,-79.23
4,M1H,Scarborough,Cedarbrae,43.78,-79.25
5,M1J,Scarborough,Scarborough Village,43.74,-79.25
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.73,-79.26
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.723824,-79.300909
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.74,-79.22
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.71,-79.25
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759356,-79.278931
11,M1R,Scarborough,"Maryvale, Wexford",43.74,-79.3
12,M1S,Scarborough,Agincourt,43.79,-79.24
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.775141,-79.322591
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.81,-79.27
15,M1W,Scarborough,L'Amoreaux West,43.8,-79.319233
16,M1X,Scarborough,Upper Rouge,43.82,-79.22
17,M2H,North York,Hillcrest Village,43.80526,-79.340777
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.779075,-79.348781
19,M2K,North York,Bayview Village,43.77,-79.38
20,M2L,North York,"Silver Hills, York Mills",43.746957,-79.384353
21,M2M,North York,"Newtonbrook, Willowdale",43.785572,-79.416416
22,M2N,North York,Willowdale South,43.762181,-79.411019
23,M2P,North York,York Mills West,43.75,-79.41
24,M2R,North York,Willowdale West,43.78,-79.45
25,M3A,North York,Parkwoods,43.74297,-79.313489
26,M3B,North York,Don Mills North,43.756759,-79.350423
27,M3C,North York,"Flemingdon Park, Don Mills South",43.725401500000004,-79.33767449999999
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.75,-79.46
29,M3J,North York,"Northwood Park, York University",43.785078,-79.477087
30,M3K,North York,"CFB Toronto, Downsview East",43.745319,-79.485205
31,M3L,North York,Downsview West,43.72,-79.51
32,M3M,North York,Downsview Central,43.726638,-79.483112
33,M3N,North York,Downsview Northwest,43.76,-79.52
34,M4A,North York,Victoria Village,43.74,-79.31
35,M4B,East York,"Woodbine Gardens, Parkview Hill",43.709513,-79.296545
36,M4C,East York,Woodbine Heights,43.690148,-79.28876
37,M4E,East Toronto,The Beaches,43.68,-79.31
38,M4G,East York,Leaside,43.71,-79.36
39,M4H,East York,Thorncliffe Park,43.71,-79.34
40,M4J,East York,East Toronto,43.68,-79.34
41,M4K,East Toronto,"The Danforth West, Riverdale",43.68,-79.36
42,M4L,East Toronto,"The Beaches West, India Bazaar",43.663323,-79.321005
43,M4M,East Toronto,Studio District,43.66,-79.35
44,M4N,Central Toronto,Lawrence Park,43.732503,-79.404104
45,M4P,Central Toronto,Davisville North,43.71,-79.39
46,M4R,Central Toronto,North Toronto West,43.71,-79.4
47,M4S,Central Toronto,Davisville,43.7,-79.39
48,M4T,Central Toronto,"Moore Park, Summerhill East",43.69,-79.39
49,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.69,-79.4
50,M4W,Downtown Toronto,Rosedale,43.68,-79.39
51,M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.67,-79.37
52,M4Y,Downtown Toronto,Church and Wellesley,43.67,-79.38
53,M5A,Downtown Toronto,Harbourfront,43.65,-79.37
54,M5B,Downtown Toronto,"Ryerson, Garden District",43.66,-79.38
55,M5C,Downtown Toronto,St. James Town,43.651427,-79.375551
56,M5E,Downtown Toronto,Berczy Park,43.645397,-79.373032
57,M5G,Downtown Toronto,Central Bay Street,43.659121,-79.385565
